"id" "protocol_type" "flag" "src_bytes" "logged_in" "count" "srv_count" "serror_rate" "srv_serror_rate" "rerror_rate" "srv_rerror_rate" "diff_srv_rate" "dst_host_diff_srv_rate" "dst_host_same_src_port_rate" "dst_host_serror_rate" "dst_host_srv_serror_rate" "dst_host_rerror_rate" "out"
"1" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"2" "tcp" "SF" 204 1 17 17 0 0 0 0 0 0 0.02 0 0 0 "normal."
"3" "tcp" "S0" 0 0 250 8 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"4" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"5" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"6" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"7" "udp" "SF" 145 0 3 1 0 0 0 0 0.67 0.85 1 0 0 0 "normal."
"8" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"9" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"10" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"11" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"12" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"13" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"14" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"15" "tcp" "S0" 0 0 139 8 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"16" "tcp" "S0" 0 0 106 4 1 1 0 0 0.07 0.05 0 1 1 0 "neptune."
"17" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"18" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"19" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"20" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"21" "tcp" "SF" 300 1 21 21 0 0 0 0 0 0 0 0 0 0 "normal."
"22" "tcp" "SF" 276 1 2 2 0 0 0 0 0 0 0.5 0 0 0 "normal."
"23" "tcp" "SF" 160 1 12 12 0 0 0 0 0 0 0.03 0 0 0 "normal."
"24" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"25" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"26" "tcp" "S0" 0 0 235 14 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"27" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"28" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"29" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
